Time;Treatment;Species_Tissue;Value
14;P;500microM_TS;674
14;P;500microM_TS;824
14;P;500microM_TS;772
14;P;500microM_TS;373
14;Fe;0microM_TS;841
14;Fe;0microM_TS;1778
14;Fe;0microM_TS;1388
14;Fe;0microM_TS;949
14;Fe;0microM_TS;1078
14;Fe;50microM_TS;2208
14;Fe;50microM_TS;2201
14;Fe;50microM_TS;1282
14;Fe;50microM_TS;1028
14;Fe;50microM_TS;1399
14;Fe;500microM_TS;2155
14;Fe;500microM_TS;2014
14;Fe;500microM_TS;2862
14;Fe;500microM_TS;2037
14;Fe;500microM_TS;1503
17;C;0microM_TS;6208
17;C;0microM_TS;5930
17;C;0microM_TS;12492
17;C;0microM_TS;10308
17;C;0microM_TS;7194
17;C;50microM_TS;7578
17;C;50microM_TS;7360
17;C;50microM_TS;12540
17;C;50microM_TS;5055
17;C;50microM_TS;12125
17;C;500microM_TS;9135
17;C;500microM_TS;14045
17;C;500microM_TS;8118
17;C;500microM_TS;9792
17;C;500microM_TS;6459
17;P;0microM_TS;543
17;P;0microM_TS;677
17;P;0microM_TS;826
17;P;0microM_TS;594
17;P;0microM_TS;433
17;P;50microM_TS;650
17;P;50microM_TS;679
17;P;50microM_TS;828
17;P;50microM_TS;457
17;P;50microM_TS;572
17;P;500microM_TS;806
17;P;500microM_TS;1120
17;P;500microM_TS;793
17;P;500microM_TS;571
17;P;500microM_TS;522
17;Fe;0microM_TS;2108
17;Fe;0microM_TS;2447
17;Fe;0microM_TS;2348
17;Fe;0microM_TS;2392
17;Fe;0microM_TS;5720
17;Fe;50microM_TS;3150
17;Fe;50microM_TS;3197
17;Fe;50microM_TS;3806
17;Fe;50microM_TS;2827
17;Fe;50microM_TS;4093
17;Fe;500microM_TS;1134
17;Fe;500microM_TS;2410
17;Fe;500microM_TS;1639
17;Fe;500microM_TS;2901
17;Fe;500microM_TS;2811
